"Pathway","Bacterium","Value","Map","Pathway_Class"
"Oxidative phosphorylation","Acidipropionibacterium thoenii DSM 20276",1.35,"map00190","Metabolism; Energy metabolism"
"Vitamin B6 metabolism","Acidipropionibacterium thoenii DSM 20276",1.21,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"Thiamine metabolism","Acidipropionibacterium thoenii DSM 20276",1.18,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Phenylalanine metabolism","Acidipropionibacterium thoenii DSM 20276",0.98,"map00360","Metabolism; Amino acid metabolism"
"Biotin metabolism","Acidipropionibacterium thoenii DSM 20276",0.96,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"Sulfur metabolism","Acidipropionibacterium thoenii DSM 20276",0.96,"map00920","Metabolism; Energy metabolism"
"Novobiocin biosynthesis","Acidipropionibacterium thoenii DSM 20276",0.94,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Glycerophospholipid metabolism","Acidipropionibacterium thoenii DSM 20276",0.92,"map00564","Metabolism; Lipid metabolism"
"Pentose and glucuronate interconversions","Acidipropionibacterium thoenii DSM 20276",0.91,"map00040","Metabolism; Carbohydrate metabolism"
"Glycerolipid metabolism","Acidipropionibacterium thoenii DSM 20276",0.89,"map00561","Metabolism; Lipid metabolism"
"Selenocompound metabolism","Acidipropionibacterium thoenii DSM 20276",0.87,"map00450","Metabolism; Metabolism of other amino acids"
"Cyanoamino acid metabolism","Acidipropionibacterium thoenii DSM 20276",0.86,"map00460","Metabolism; Metabolism of other amino acids"
"Lipoic acid metabolism","Acidipropionibacterium thoenii DSM 20276",0.73,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Aminobenzoate degradation","Acidipropionibacterium thoenii DSM 20276",0.69,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Styrene degradation","Acidipropionibacterium thoenii DSM 20276",0.69,"map00643","Metabolism; Xenobiotics biodegradation and metabolism"
"Fatty acid biosynthesis","Acidipropionibacterium thoenii DSM 20276",0.66,"map00061","Metabolism; Lipid metabolism"
"Biosynthesis of various secondary metabolites - part 3","Acidipropionibacterium thoenii DSM 20276",0.57,"map00997","Metabolism; Biosynthesis of other secondary metabolites"
"Polyketide sugar unit biosynthesis","Acidipropionibacterium thoenii DSM 20276",0.55,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Acarbose and validamycin biosynthesis","Acidipropionibacterium thoenii DSM 20276",0.55,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Nitrogen metabolism","Acidipropionibacterium thoenii DSM 20276",0.53,"map00910","Metabolism; Energy metabolism"
"Aminoacyl-tRNA biosynthesis","Acidipropionibacterium thoenii DSM 20276",0.49,"map00970","Genetic Information Processing; Translation"
"Carbapenem biosynthesis","Acidipropionibacterium thoenii DSM 20276",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of ansamycins","Acidipropionibacterium thoenii DSM 20276",0.39,"map01051","Metabolism; Metabolism of terpenoids and polyketides"
"Lysine degradation","Acidipropionibacterium thoenii DSM 20276",0.35,"map00310","Metabolism; Amino acid metabolism"
"Tyrosine metabolism","Acidipropionibacterium thoenii DSM 20276",0.3,"map00350","Metabolism; Amino acid metabolism"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Acidipropionibacterium thoenii DSM 20276",0.3,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"Monobactam biosynthesis","Acidipropionibacterium thoenii DSM 20276",0.29,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Neomycin; kanamycin and gentamicin biosynthesis","Acidipropionibacterium thoenii DSM 20276",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of vancomycin group antibiotics","Acidipropionibacterium thoenii DSM 20276",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Glucosinolate biosynthesis","Acidipropionibacterium thoenii DSM 20276",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Inositol phosphate metabolism","Acidipropionibacterium thoenii DSM 20276",0.02,"map00562","Metabolism; Carbohydrate metabolism"
"Zeatin biosynthesis","Acidipropionibacterium thoenii DSM 20276",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Acidipropionibacterium thoenii DSM 20276",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Acinetobacter calcoaceticus CA 16",193.49,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Acinetobacter calcoaceticus CA 16",77.06,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Acinetobacter calcoaceticus CA 16",66.18,"map01120","Microbial metabolism in diverse environments"
"Purine metabolism","Acinetobacter calcoaceticus CA 16",13.03,"map00230","Metabolism; Nucleotide metabolism"
"Benzoate degradation","Acinetobacter calcoaceticus CA 16",12.74,"map00362","Metabolism; Xenobiotics biodegradation and metabolism"
"Pyruvate metabolism","Acinetobacter calcoaceticus CA 16",12.23,"map00620","Metabolism; Carbohydrate metabolism"
"Carbon fixation pathways in prokaryotes","Acinetobacter calcoaceticus CA 16",11.84,"map00720","Metabolism; Energy metabolism"
"Cysteine and methionine metabolism","Acinetobacter calcoaceticus CA 16",9.89,"map00270","Metabolism; Amino acid metabolism"
"Porphyrin and chlorophyll metabolism","Acinetobacter calcoaceticus CA 16",9.73,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Citrate cycle (TCA cycle)","Acinetobacter calcoaceticus CA 16",9.67,"map00020","Metabolism; Carbohydrate metabolism"
"Glycine; serine and threonine metabolism","Acinetobacter calcoaceticus CA 16",9.66,"map00260","Metabolism; Amino acid metabolism"
"Glyoxylate and dicarboxylate metabolism","Acinetobacter calcoaceticus CA 16",8.89,"map00630","Metabolism; Carbohydrate metabolism"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Acinetobacter calcoaceticus CA 16",8.68,"map00400","Metabolism; Amino acid metabolism"
"Phenylalanine metabolism","Acinetobacter calcoaceticus CA 16",8.65,"map00360","Metabolism; Amino acid metabolism"
"Nicotinate and nicotinamide metabolism","Acinetobacter calcoaceticus CA 16",7.76,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Folate biosynthesis","Acinetobacter calcoaceticus CA 16",7.57,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"Methane metabolism","Acinetobacter calcoaceticus CA 16",7.47,"map00680","Metabolism; Energy metabolism"
"Lipopolysaccharide biosynthesis","Acinetobacter calcoaceticus CA 16",7.32,"map00540","Metabolism; Glycan biosynthesis and metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Acinetobacter calcoaceticus CA 16",7.14,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"Arginine biosynthesis","Acinetobacter calcoaceticus CA 16",7.04,"map00220","Metabolism; Amino acid metabolism"
"Propanoate metabolism","Acinetobacter calcoaceticus CA 16",6.68,"map00640","Metabolism; Carbohydrate metabolism"
"Alanine; aspartate and glutamate metabolism","Acinetobacter calcoaceticus CA 16",6.46,"map00250","Metabolism; Amino acid metabolism"
"Glycolysis / Gluconeogenesis","Acinetobacter calcoaceticus CA 16",6.37,"map00010","Metabolism; Carbohydrate metabolism"
"Tryptophan metabolism","Acinetobacter calcoaceticus CA 16",6.3,"map00380","Metabolism; Amino acid metabolism"
"Arginine and proline metabolism","Acinetobacter calcoaceticus CA 16",6.01,"map00330","Metabolism; Amino acid metabolism"
"Histidine metabolism","Acinetobacter calcoaceticus CA 16",5.42,"map00340","Metabolism; Amino acid metabolism"
"Terpenoid backbone biosynthesis","Acinetobacter calcoaceticus CA 16",5.25,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Tyrosine metabolism","Acinetobacter calcoaceticus CA 16",5,"map00350","Metabolism; Amino acid metabolism"
"Pantothenate and CoA biosynthesis","Acinetobacter calcoaceticus CA 16",5,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Glutathione metabolism","Acinetobacter calcoaceticus CA 16",4.87,"map00480","Metabolism; Metabolism of other amino acids"
"Valine; leucine and isoleucine degradation","Acinetobacter calcoaceticus CA 16",4.68,"map00280","Metabolism; Amino acid metabolism"
"Carbon fixation in photosynthetic organisms","Acinetobacter calcoaceticus CA 16",4.68,"map00710","Metabolism; Energy metabolism"
"Lysine degradation","Acinetobacter calcoaceticus CA 16",4.44,"map00310","Metabolism; Amino acid metabolism"
"Pentose phosphate pathway","Acinetobacter calcoaceticus CA 16",4.43,"map00030","Metabolism; Carbohydrate metabolism"
"Riboflavin metabolism","Acinetobacter calcoaceticus CA 16",4.42,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Glycerophospholipid metabolism","Acinetobacter calcoaceticus CA 16",4.38,"map00564","Metabolism; Lipid metabolism"
"Biotin metabolism","Acinetobacter calcoaceticus CA 16",4.36,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"Butanoate metabolism","Acinetobacter calcoaceticus CA 16",4.35,"map00650","Metabolism; Carbohydrate metabolism"
"Fatty acid degradation","Acinetobacter calcoaceticus CA 16",4.16,"map00071","Metabolism; Lipid metabolism"
"beta-Alanine metabolism","Acinetobacter calcoaceticus CA 16",4.13,"map00410","Metabolism; Metabolism of other amino acids"
"Pyrimidine metabolism","Acinetobacter calcoaceticus CA 16",4.01,"map00240","Metabolism; Nucleotide metabolism"
"Amino sugar and nucleotide sugar metabolism","Acinetobacter calcoaceticus CA 16",3.92,"map00520","Metabolism; Carbohydrate metabolism"
"One carbon pool by folate","Acinetobacter calcoaceticus CA 16",3.9,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Thiamine metabolism","Acinetobacter calcoaceticus CA 16",3.67,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Sulfur metabolism","Acinetobacter calcoaceticus CA 16",3.44,"map00920","Metabolism; Energy metabolism"
"Drug metabolism - other enzymes","Acinetobacter calcoaceticus CA 16",3.3,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Vitamin B6 metabolism","Acinetobacter calcoaceticus CA 16",3.23,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"Lysine biosynthesis","Acinetobacter calcoaceticus CA 16",3.11,"map00300","Metabolism; Amino acid metabolism"
"Valine; leucine and isoleucine biosynthesis","Acinetobacter calcoaceticus CA 16",3.05,"map00290","Metabolism; Amino acid metabolism"
"Fatty acid biosynthesis","Acinetobacter calcoaceticus CA 16",2.96,"map00061","Metabolism; Lipid metabolism"
"Fluorobenzoate degradation","Acinetobacter calcoaceticus CA 16",2.89,"map00364","Metabolism; Xenobiotics biodegradation and metabolism"
"Atrazine degradation","Acinetobacter calcoaceticus CA 16",2.76,"map00791","Metabolism; Xenobiotics biodegradation and metabolism"
"Ascorbate and aldarate metabolism","Acinetobacter calcoaceticus CA 16",2.75,"map00053","Metabolism; Carbohydrate metabolism"
"Fatty acid elongation","Acinetobacter calcoaceticus CA 16",2.39,"map00062","Metabolism; Lipid metabolism"
"Geraniol degradation","Acinetobacter calcoaceticus CA 16",2.39,"map00281","Metabolism; Metabolism of terpenoids and polyketides"
"Peptidoglycan biosynthesis","Acinetobacter calcoaceticus CA 16",2.31,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Oxidative phosphorylation","Acinetobacter calcoaceticus CA 16",2.27,"map00190","Metabolism; Energy metabolism"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Acinetobacter calcoaceticus CA 16",2.16,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"D-Amino acid metabolism","Acinetobacter calcoaceticus CA 16",2.09,"map00470","Metabolism; Metabolism of other amino acids"
"Starch and sucrose metabolism","Acinetobacter calcoaceticus CA 16",1.96,"map00500","Metabolism; Carbohydrate metabolism"
"Polycyclic aromatic hydrocarbon degradation","Acinetobacter calcoaceticus CA 16",1.94,"map00624","Metabolism; Xenobiotics biodegradation and metabolism"
"Taurine and hypotaurine metabolism","Acinetobacter calcoaceticus CA 16",1.91,"map00430","Metabolism; Metabolism of other amino acids"
"Styrene degradation","Acinetobacter calcoaceticus CA 16",1.91,"map00643","Metabolism; Xenobiotics biodegradation and metabolism"
"Nitrogen metabolism","Acinetobacter calcoaceticus CA 16",1.88,"map00910","Metabolism; Energy metabolism"
"Isoquinoline alkaloid biosynthesis","Acinetobacter calcoaceticus CA 16",1.87,"map00950","Metabolism; Biosynthesis of other secondary metabolites"
"Novobiocin biosynthesis","Acinetobacter calcoaceticus CA 16",1.82,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Toluene degradation","Acinetobacter calcoaceticus CA 16",1.79,"map00623","Metabolism; Xenobiotics biodegradation and metabolism"
"Aminobenzoate degradation","Acinetobacter calcoaceticus CA 16",1.79,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Cyanoamino acid metabolism","Acinetobacter calcoaceticus CA 16",1.74,"map00460","Metabolism; Metabolism of other amino acids"
"O-Antigen nucleotide sugar biosynthesis","Acinetobacter calcoaceticus CA 16",1.74,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"Lipoic acid metabolism","Acinetobacter calcoaceticus CA 16",1.69,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Caprolactam degradation","Acinetobacter calcoaceticus CA 16",1.62,"map00930","Metabolism; Xenobiotics biodegradation and metabolism"
"Selenocompound metabolism","Acinetobacter calcoaceticus CA 16",1.6,"map00450","Metabolism; Metabolism of other amino acids"
"alpha-Linolenic acid metabolism","Acinetobacter calcoaceticus CA 16",1.57,"map00592","Metabolism; Lipid metabolism"
"Fructose and mannose metabolism","Acinetobacter calcoaceticus CA 16",1.44,"map00051","Metabolism; Carbohydrate metabolism"
"Glycerolipid metabolism","Acinetobacter calcoaceticus CA 16",1.24,"map00561","Metabolism; Lipid metabolism"
"C5-Branched dibasic acid metabolism","Acinetobacter calcoaceticus CA 16",1.19,"map00660","Metabolism; Carbohydrate metabolism"
"Monobactam biosynthesis","Acinetobacter calcoaceticus CA 16",1.02,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Dioxin degradation","Acinetobacter calcoaceticus CA 16",1,"map00621","Metabolism; Xenobiotics biodegradation and metabolism"
"Naphthalene degradation","Acinetobacter calcoaceticus CA 16",1,"map00626","Metabolism; Xenobiotics biodegradation and metabolism"
"Biosynthesis of various secondary metabolites - part 2","Acinetobacter calcoaceticus CA 16",0.99,"map00998","Metabolism; Biosynthesis of other secondary metabolites"
"Chlorocyclohexane and chlorobenzene degradation","Acinetobacter calcoaceticus CA 16",0.96,"map00361","Metabolism; Xenobiotics biodegradation and metabolism"
"Phenylpropanoid biosynthesis","Acinetobacter calcoaceticus CA 16",0.94,"map00940","Metabolism; Biosynthesis of other secondary metabolites"
"Metabolism of xenobiotics by cytochrome P450","Acinetobacter calcoaceticus CA 16",0.92,"map00980","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - cytochrome P450","Acinetobacter calcoaceticus CA 16",0.92,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Other glycan degradation","Acinetobacter calcoaceticus CA 16",0.85,"map00511","Metabolism; Glycan biosynthesis and metabolism"
"Various types of N-glycan biosynthesis","Acinetobacter calcoaceticus CA 16",0.85,"map00513","Metabolism; Glycan biosynthesis and metabolism"
"Glycosaminoglycan degradation","Acinetobacter calcoaceticus CA 16",0.85,"map00531","Metabolism; Glycan biosynthesis and metabolism"
